feature,mean_importance
feature_4506,-6.461502765457983e-05
feature_8559,-6.454523502171793e-05
feature_12159,-6.42800862938664e-05
feature_18759,-6.423906177915883e-05
feature_17615,-6.352705125327596e-05
feature_21512,-6.307975767010366e-05
feature_16196,-6.291963520964617e-05
feature_3304,-6.276696034076545e-05
feature_6434,-6.255278104714269e-05
feature_4981,-6.243327697733614e-05
feature_3389,-6.239370791634169e-05
feature_16331,-6.231242018016614e-05
feature_20286,-6.224597350812378e-05
feature_20274,-6.208679732765399e-05
feature_18632,-6.205536750911734e-05
feature_5346,-6.084907424138697e-05
feature_15390,-6.065676283566468e-05
feature_12423,-6.023509982344688e-05
feature_10611,-5.9986859411165216e-05
feature_9830,-5.9536292299222635e-05
feature_24123,-5.914262462384245e-05
feature_14641,-5.912259900228145e-05
feature_11881,-5.907687665857031e-05
feature_11279,-5.906874860405198e-05
feature_1434,-5.888819578756532e-05
feature_13555,-5.8719264356099644e-05
feature_13367,-5.86888197154023e-05
feature_9993,-5.862667592788639e-05
feature_4866,-5.843552395436991e-05
feature_16761,-5.8422530053092724e-05
feature_6006,-5.801379143535179e-05
feature_9291,-5.801271486184367e-05
feature_15984,-5.726037060491684e-05
feature_16915,-5.7189052082307065e-05
feature_18820,-5.696557282303116e-05
feature_20602,-5.663861668037118e-05
feature_5501,-5.660227391005579e-05
feature_2444,-5.657783903130209e-05
feature_21035,-5.64444538511566e-05
feature_23165,-5.6154175019196284e-05
feature_11309,-5.614371471613921e-05
feature_21196,-5.5855326165321625e-05
feature_13154,-5.555631558312735e-05
feature_6250,-5.5388485538299113e-05
feature_5285,-5.510192957713933e-05
feature_22531,-5.498131028083275e-05
feature_13840,-5.485644324475514e-05
feature_12307,-5.460224691569149e-05
feature_9330,-5.445421537758621e-05
feature_16388,-5.42478207442576e-05
feature_19520,-5.38562465121184e-05
feature_3651,-5.383329254745606e-05
feature_20374,-5.365398757400941e-05
feature_4630,-5.342696353483056e-05
feature_19163,-5.3232085197474355e-05
feature_19921,-5.287052122594504e-05
feature_4794,-5.2275735306384076e-05
feature_4196,-5.204967596940113e-05
feature_4723,-5.200873902159175e-05
feature_20961,-5.1923397287523264e-05
feature_1049,-5.1350983948750264e-05
feature_9714,-5.109784965794395e-05
feature_13540,-5.0528780753211765e-05
feature_19586,-5.051406448108864e-05
feature_1579,-5.04381101528506e-05
feature_2723,-5.03952779602912e-05
feature_4950,-5.000513216120161e-05
feature_7396,-4.986907716185707e-05
feature_5152,-4.9845265525549906e-05
feature_12428,-4.984198804581785e-05
feature_9306,-4.977513110793197e-05
feature_14201,-4.9218228082792415e-05
feature_7147,-4.906618865693213e-05
feature_14071,-4.890613105615893e-05
feature_9450,-4.8903415368639626e-05
feature_6530,-4.857471526025226e-05
feature_3171,-4.822445379584206e-05
feature_11534,-4.8052947101784314e-05
feature_16667,-4.795843251043097e-05
feature_17198,-4.7931768166442625e-05
feature_5786,-4.7792133224211494e-05
feature_22024,-4.7062642496276116e-05
feature_9369,-4.672980462192555e-05
feature_21814,-4.6413811883372344e-05
feature_15900,-4.626566102385876e-05
feature_15640,-4.6197272460268836e-05
feature_8272,-4.587693102829915e-05
feature_2075,-4.583018923619564e-05
