feature,mean_importance
feature_16808,-0.000507214575552728
feature_18507,-0.0005053239196822545
feature_5171,-0.0004970381582681815
feature_3807,-0.0004876598306141844
feature_4898,-0.00047968476139900187
feature_16084,-0.00047700894664124414
feature_24248,-0.0004740428718582379
feature_10372,-0.0004709023116994171
feature_13233,-0.00046769884848097966
feature_16567,-0.00046166619550727097
feature_23798,-0.00045853692530146707
feature_2050,-0.0004519174379806645
feature_17326,-0.00045165597999164976
feature_15303,-0.0004419614928279136
feature_4718,-0.00044025880358311564
feature_15568,-0.00043293973238680563
feature_5819,-0.0004325460629967748
feature_23723,-0.000431584161276255
feature_9671,-0.00043107150679044803
feature_17049,-0.0004275262082493625
feature_11534,-0.00042598000552237505
feature_14513,-0.00042301206434427476
feature_18863,-0.0004204579678296572
feature_11982,-0.0004152908408201816
feature_2118,-0.00041096408234907454
feature_8597,-0.0004088296044335138
feature_10461,-0.00040813944421991266
feature_3408,-0.0004059638014562994
feature_5098,-0.0004016114661286263
feature_1660,-0.00039392934154952597
feature_9293,-0.00039117836855080413
feature_23052,-0.0003844557541418436
feature_3360,-0.00037838717349280014
feature_13110,-0.00037706121423951576
feature_807,-0.0003758826886949396
feature_4987,-0.0003694781717223483
feature_22848,-0.0003689301960496993
feature_17958,-0.0003677045833864856
feature_17300,-0.0003646585656633672
feature_20693,-0.0003605506611812359
feature_23657,-0.0003603280162290501
feature_19253,-0.00035749829931258637
feature_751,-0.00035702193332332044
feature_6194,-0.00035137203525882344
feature_4218,-0.0003484313945486539
feature_7065,-0.0003441553573001688
feature_15557,-0.00034314614786737916
feature_1513,-0.00034298132275296657
feature_4906,-0.0003393747457534846
feature_21139,-0.00033850123388953215
feature_9859,-0.00033684749754566703
feature_4466,-0.0003342981776284559
feature_5009,-0.00033284841633414165
feature_20452,-0.0003302727115983339
feature_7157,-0.00032843482027744564
feature_6216,-0.0003235140386795399
feature_13921,-0.00032290689022826944
feature_3506,-0.0003208731086873473
feature_10181,-0.00031734497637881943
feature_3304,-0.0003139467775011617
feature_8762,-0.0003106655432897898
feature_17664,-0.0003097795043846219
feature_15418,-0.00030313334902687394
feature_18073,-0.0003025674546642598
feature_23110,-0.0002996662638487968
feature_17199,-0.0002955343265690025
feature_16606,-0.00029294813399105557
feature_2703,-0.00029290580003199507
feature_6772,-0.0002897539398729387
feature_12209,-0.00028966659069555866
feature_24227,-0.00028869760575546134
feature_20732,-0.0002886259023851645
feature_22351,-0.00028851635616605753
feature_14853,-0.00028730013599825854
feature_5020,-0.00028667993128930205
feature_16253,-0.00028441569391181033
feature_19868,-0.0002836811807327422
feature_6376,-0.00028150997877485207
feature_23411,-0.00028004152429450535
feature_4579,-0.00027967403934163747
feature_5710,-0.00027684607307728595
feature_8106,-0.0002695207248370357
feature_6323,-0.00026894824505644397
feature_21701,-0.0002681709377470809
