feature,mean_importance
feature_7799,-0.0009512547544592743
feature_3177,-0.0009293386138728987
feature_4029,-0.0009254945642317214
feature_5174,-0.0009182470229226247
feature_14825,-0.0009165700123152654
feature_3042,-0.0009161386602932531
feature_5057,-0.0009143414998829646
feature_20421,-0.0009124852476399603
feature_14410,-0.0009108440104350857
feature_610,-0.0009103993659769882
feature_4872,-0.0009100812888552135
feature_21490,-0.0008857544949091966
feature_8430,-0.0008753726465278611
feature_18896,-0.0008750911811899797
feature_3552,-0.000874777530770654
feature_23705,-0.0008739790077125775
feature_12865,-0.0008550324062288839
feature_10201,-0.0008550183759032937
feature_1454,-0.0008471707308646881
feature_2238,-0.0008334523355506773
feature_10120,-0.000832089665399538
feature_7655,-0.000822807733896136
feature_19154,-0.000816488002029181
feature_18983,-0.0008155956112564366
feature_17760,-0.0008090849002097888
feature_330,-0.0008087473532264022
feature_13890,-0.0008007468909302373
feature_19785,-0.0007972529697732212
feature_19227,-0.0007952195394590467
feature_3171,-0.0007894857956449952
feature_22192,-0.000781142433017723
feature_23365,-0.0007731594100444106
feature_1752,-0.0007603942028781896
feature_1186,-0.0007551656840451004
feature_11936,-0.0007519989388281356
feature_12623,-0.0007372568019035741
feature_23078,-0.0007306214334461992
feature_12180,-0.000719637176456045
feature_924,-0.0007047846564930182
feature_157,-0.0006959830219068986
feature_19528,-0.0006912225159474872
feature_13748,-0.0006887866789573982
feature_3476,-0.0006864147160648316
feature_17007,-0.0006774237279698169
feature_15175,-0.0006763140194218309
feature_13834,-0.0006714389516384811
feature_15496,-0.000670762298923444
feature_3782,-0.0006664591660052066
feature_9036,-0.0006635026573745595
feature_9338,-0.0006611038442265738
feature_12373,-0.0006416592189533388
feature_13800,-0.0006395325860140799
feature_8902,-0.0006355372418330063
feature_17319,-0.000633204215672678
feature_2884,-0.00063083632044445
feature_3140,-0.0006276574855123895
feature_21022,-0.0006244671660228018
feature_18432,-0.0006216906316004245
feature_2780,-0.0006194741661432968
feature_6077,-0.0006165298554183796
feature_12723,-0.00061640520028583
feature_6447,-0.0006093819156688607
feature_9809,-0.0006086083704072154
feature_7409,-0.0006010466770213441
feature_21118,-0.0005766944957368514
feature_6795,-0.0005751530405449179
feature_6835,-0.0005747787940721061
feature_14404,-0.0005739170468630261
feature_1593,-0.0005679261453990003
feature_11392,-0.0005674461001722531
feature_4440,-0.0005672237093149679
feature_14751,-0.0005632207033102521
feature_5289,-0.0005622408367168763
feature_75,-0.0005609803098220789
feature_23667,-0.000557959554919707
feature_1606,-0.0005548248844232662
feature_21824,-0.0005524434208497908
feature_5089,-0.0005511371844749924
feature_18913,-0.0005308532044250525
feature_1567,-0.0005261687581894047
feature_11718,-0.0005212785046425194
feature_6140,-0.0005184434340379518
feature_841,-0.00051839336437014
feature_18082,-0.0005181113324829844
feature_393,-0.0005172218459773781
feature_6250,-0.0005169539313731209
feature_7987,-0.0005146119123853766
feature_8982,-0.0005145987735721835
feature_10986,-0.0005144187805192324
feature_3165,-0.0005140284082665759
feature_8191,-0.00051195832776314
feature_4040,-0.0005111415250733664
feature_5966,-0.0005096262617233949
feature_20195,-0.0005058990227647442
feature_21840,-0.0005057189449173105
feature_20670,-0.0005018808979385447
feature_772,-0.0005014441248345936
feature_8801,-0.0004962738107863407
feature_1054,-0.0004948774353933816
feature_22497,-0.0004939461226513009
feature_3505,-0.000485799569684553
feature_5565,-0.00048569999766634453
feature_11268,-0.0004838159278871768
feature_4205,-0.0004833215723882622
feature_11190,-0.0004828084381147679
feature_2919,-0.0004797385644365715
